Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
1.967417237,0.001,58586,33284.4974,0.269893545,2.08629597,2881.19374,0.0260301,441.549517,21805.2595,3.75271271,17639.1,1516.398282,1.044003838,2.28086,17639.1,1,0,0,3654.11981,0,9.65738,3303,11838
1.967417237,0.001,60606,32415.7566,0.04422055,1.11398225,24561.4959,0.0402765,315.602049,27740.824,6.00982827,22093.9,14229.08632,0.313839573,1.09647,22093.9,0,0,1,7.06046005,1,4.43869,38702,85212
15.7393379,0.001,374772,123985.811,0.410996856,2.14412588,7950.80742,0.0386368,3228.1262,65914.7729,7.84559908,48267.7,7893.583012,0.589607107,2.32839,48267.7,0,0,0,0,0,4.45803,9632.3,18652
15.7393379,0.001,353373,116695.851,4.01615072,4.84162685,526.508996,0.0379288,6482.84417,54637.1931,3.56959407,41817.4,464.1540977,3.637730731,5.14966,41817.4,72,6,0,15.0049988,1,3.498,440.59,2137
15.7393379,0.001,388499,127533.125,3.03292309,5.41642302,664.123145,0.0433978,7208.5609,64906.977,4.97960571,47368.3,657.2822257,2.685074977,5.60473,47368.3,0,0,0,0,0,3.22816,585.02,2278.6
15.7393379,0.001,357854,119679.009,3.1993614,9.43019275,141.553847,0.0422826,12302.0791,63888.8097,2.50674061,45607.2,148.5130014,5.138851948,10.1149,45607.2,186,2,0,26.1274213,1,2.94109,205.09,978.02
5.564696279,0.001,86965,35423.6077,0.089208985,2.36563524,5633.37106,0.0396711,1426.71375,22949.0692,3.93841286,16830.5,6200.105893,0.339404868,2.13641,16830.5,0,0,0,0,0,2.66424,18112,20290
5.564696279,0.001,261153,92578.098,0.213144257,3.27561491,9386.96167,0.0252572,3109.9279,48124.4361,3.76063314,35831.7,1994.301802,1.085099085,3.39273,35831.7,1,0,0,4634.67202,0,8.8278,4607.9,14477
5.564696279,0.001,243877,89730.7808,0.26520485,3.9413584,9462.21925,0.0256113,3137.24344,40832.0111,4.93918763,31574.1,1616.072283,1.033252913,4.15146,31574.1,1,0,0,8455.68963,1,12.8651,3621.9,14910
5.564696279,0.001,263150,93230.6011,0.351008641,3.87948587,4653.62452,0.0284401,3832.07019,52155.4702,3.77981647,37439.7,1591.380842,1.131977077,4.39482,37439.7,1,0,0,3265.56569,0,8.00868,3534,10559
5.564696279,0.001,250092,87428.9246,1.43770226,3.69863813,1017.36449,0.0339675,3646.61939,51636.8539,5.27452275,36848.5,1383.34375,1.335154355,3.98171,36848.5,5,1,0,13.5395545,1,3.00556,1372.3,3422.4
1.967417237,0.001,7477,11735.747,0.248937881,1.45293426,643.549891,0.025545,3.45E-05,2949.61167,1.28810645,2479.73,1325.336168,0.317162764,1.38435,2479.73,0,0,1,7617.63221,0,10.774,1097,3598.6
1.967417237,0.001,14752,21338.0118,0.55740513,1.67346308,467.845769,0.027115,2.72E-05,4150.16354,5.133099,3626.4,354.2648988,1.785313899,1.47339,3626.4,1,0,0,14512.2066,1,9.90303,511.11,2578.6
1.967417237,0.001,5029,9751.94927,0.339905117,1.31324039,399.343621,0.029827,4.81E-05,1973.20793,1.35354887,1665.97,606.2018626,0.600599828,0.874798,1665.97,1,0,0,6831.61863,0,7.90892,941.75,4419.2
1.967417237,0.001,4861,10594.0093,0.305397662,0.993507401,425.95901,0.0292121,2.50E-05,2552.88701,1.14462201,2091.53,1578.067786,0.249667675,1.12582,2091.53,1,0,0,7808.91232,1,10.2127,1060.2,2428.7
15.7393379,0.001,177295,60209.3285,1.20221491,5.71566793,536.619995,0.0442596,7054.80603,25968.6407,3.79642697,20246.6,654.0222138,1.200851558,6.42181,20246.6,0,0,0,0,0,2.12586,538.8,1981.8
